"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.02685981,       1.319487269,         0.8487371,       4.463888194
          0,           0,           1,      -1.261807589,       1.189447813,       1.192295235,       4.230844677
          0,           0,           2,       -1.32386553,       1.117846988,       1.086342912,       4.172911038
          0,           0,           3,      -1.393978871,       1.019313674,      0.9923619854,       4.105588095
          0,           0,           4,      -1.478225124,      0.9253138302,       0.882961529,       4.024112744
          0,           0,           5,      -1.560607331,      0.7895437625,      0.7547765939,       3.946132363
          0,           0,           6,      -1.627177294,      0.7328885632,      0.6892003306,        3.88331961
          0,           0,           7,      -1.703954965,      0.6824191942,      0.6023707235,       3.806657123
          0,           0,           8,      -1.782778147,      0.5999433349,      0.4943052223,        3.72777385
          0,           0,           9,      -1.870169156,      0.4910854346,      0.3978492703,       3.641719497
          0,           0,          10,      -1.953259948,      0.3937216585,      0.2994512455,       3.559298839
          0,           0,          11,      -2.040925568,      0.3102345633,      0.2070982965,       3.471852113
          0,           0,          12,      -2.135291754,      0.2272689157,      0.1254396188,        3.37761113
          0,           0,          13,      -2.224830831,       0.151086078,     0.04071985629,       3.287179601
          0,           0,          14,      -2.311191932,     0.07331211466,    -0.04360058843,       3.199928448
          0,           0,          15,      -2.397820673,    -0.01516586714,     -0.1282199068,       3.113520493
          0,           0,          16,      -2.482694865,     -0.1089373072,     -0.2220271641,       3.029692737
          0,           0,          17,      -2.564333721,     -0.1986900209,     -0.3216646407,       2.949116017
          0,           0,          18,      -2.644810442,     -0.2818421819,     -0.4134462414,       2.869299754
          0,           0,          19,      -2.725481084,     -0.3602750004,     -0.4926175174,       2.788814548
          0,           0,          20,      -2.806299885,     -0.4357621537,     -0.5681558496,       2.707975436
          0,           0,          21,        -2.8871719,     -0.5102086383,     -0.6488740393,       2.627291836
          0,           0,          22,      -2.968221326,     -0.5858007502,     -0.7366279554,       2.546856192
          0,           0,          23,      -3.049243132,     -0.6641321525,     -0.8287526844,         2.4667386
          0,           0,          24,      -3.128384233,     -0.7447369534,     -0.9218468552,       2.388439042
          0,           0,          25,      -3.202675654,     -0.8254704749,      -1.012661171,       2.314643923
          0,           0,          26,      -3.269735574,     -0.9037448926,      -1.098282575,         2.2477088
          0,           0,          27,      -3.329473059,     -0.9778427867,      -1.177051271,        2.18792951
          0,           0,          28,      -3.383737856,      -1.047535558,      -1.249141182,       2.133664241
          0,           0,          29,      -3.434540676,      -1.113566089,      -1.316095221,       2.082965611
          0,           0,          30,      -3.482875165,      -1.176723298,       -1.37965521,       2.034810685
          0,           0,          31,      -3.528684893,      -1.237356077,      -1.440866362,       1.989203363
          0,           0,          32,      -3.571339138,      -1.295328732,       -1.50023959,       1.946731295
          0,           0,          33,      -3.610309581,       -1.35017008,      -1.557656665,       1.907904222
          0,           0,          34,      -3.645376579,      -1.401523101,      -1.612934785,       1.872956595
          0,           0,          35,       -3.67654997,      -1.449275197,      -1.665189986,       1.841900623
          0,           0,          36,      -3.704320263,      -1.493702251,      -1.713495957,       1.814287281
          0,           0,          37,       -3.72955334,      -1.535263761,      -1.756837904,       1.789277941
          0,           0,          38,      -3.752788809,       -1.57380765,       -1.79519064,       1.766297799
          0,           0,          39,      -3.775270756,      -1.609677917,       -1.82895947,       1.744118328
          0,           0,          40,      -3.798105875,      -1.642874395,      -1.859340389,       1.721618024
          0,           0,          41,      -3.822440427,      -1.674607743,      -1.888021645,       1.697644418
          0,           0,          42,      -3.848940682,      -1.705751461,      -1.916715224,       1.671509456
          0,           0,          43,      -3.877959144,      -1.737131416,      -1.946912416,       1.642851711
          0,           0,          44,      -3.909663828,      -1.769413289,      -1.979395913,       1.611504375
          0,           0,          45,      -3.944121508,      -1.803130297,      -2.014614828,       1.577400363
          0,           0,          46,      -3.981382535,      -1.838728513,       -2.05312553,        1.54049305
          0,           0,          47,      -4.021482384,      -1.876540316,      -2.094774995,       1.500748182
          0,           0,          48,      -4.064428186,      -1.916824582,      -2.139440472,       1.458155926
          0,           0,          49,      -4.110191987,      -1.959760173,      -2.186468032,       1.412739372
          0,           0,          50,      -4.158708814,        -2.0054541,      -2.235388641,       1.364557672
          0,           0,          51,       -4.20985641,      -2.053963284,      -2.285691022,        1.31372486
          0,           0,          52,      -4.263441574,      -2.105294082,      -2.336843377,       1.260425251
          0,           0,          53,      -4.319229335,       -2.15940394,      -2.388341798,       1.204883897
          0,           0,          54,      -4.376968715,      -2.216230593,      -2.439850967,       1.147344151
          0,           0,          55,      -4.436422229,       -2.27569371,      -2.490993658,       1.088038545
          0,           0,          56,      -4.497284471,      -2.337723673,       -2.54184543,       1.027260093
          0,           0,          57,      -4.559226455,      -2.402237631,      -2.592482907,      0.9653293876
          0,           0,          58,       -4.62189007,      -2.469150416,      -2.643257504,      0.9025934062
          0,           0,          59,      -4.684771293,      -2.538367829,       -2.69471166,      0.8395403813
          0,           0,          60,      -4.747189873,      -2.609706701,      -2.746900639,      0.7768381233
          0,           0,          61,      -4.808359244,      -2.682798936,       -2.79971008,      0.7152710607
          0,           0,          62,      -4.867323162,      -2.757029383,      -2.853350029,      0.6557953901
          0,           0,          63,      -4.923111687,      -2.831451833,       -2.90765989,      0.5993980472
          0,           0,          64,      -4.974832985,      -2.904623203,      -2.962069558,      0.5470126847
          0,           0,          65,      -5.021929598,      -2.974582812,      -3.016156875,      0.4992572223
          0,           0,          66,      -5.064334196,      -3.039010104,      -3.069390701,      0.4562684949
          0,           0,          67,      -5.102420005,        -3.0956672,       -3.12137066,      0.4177222355
          0,           0,          68,      -5.136993053,      -3.143138325,      -3.171657652,      0.3828450602
          0,           0,          69,      -5.169072582,      -3.181433138,      -3.219664654,      0.3506203973
          0,           0,          70,      -5.199780087,      -3.212026157,         -3.265195,      0.3199066841
          0,           0,          71,      -5.230120762,      -3.237341833,      -3.308371192,      0.2896673966
          0,           0,          72,      -5.260911224,      -3.259913374,      -3.349346659,      0.2590577438
          0,           0,          73,       -5.29275491,      -3.281856569,       -3.38839966,      0.2274475802
          0,           0,          74,      -5.326101283,      -3.304738983,      -3.425976129,      0.1943681435
          0,           0,          75,      -5.361294272,      -3.329609844,      -3.462695633,      0.1594624871
          0,           0,          76,      -5.398529432,      -3.357136923,      -3.499146477,      0.1225215024
          0,           0,          77,      -5.437904437,      -3.387687475,      -3.535735344,     0.08343851593
          0,           0,          78,      -5.479457819,      -3.421438377,      -3.572798637,     0.04216933416
          0,           0,          79,      -5.523184425,      -3.458456918,      -3.610623583,   -0.001284724568
          0,           0,          80,      -5.569038764,      -3.498754886,      -3.649428811,    -0.04688204754
          0,           0,          81,      -5.616937217,       -3.54231769,      -3.689361858,    -0.09454316462
          0,           0,          82,      -5.666759838,      -3.589119541,      -3.730506244,     -0.1441523884
          0,           0,          83,      -5.718344428,      -3.639133103,      -3.772880603,     -0.1955521224
          0,           0,          84,      -5.771475767,      -3.692336059,      -3.816475365,     -0.2485327715
          0,           0,          85,      -5.825887915,      -3.748698616,      -3.861224754,     -0.3028342442
          0,           0,          86,      -5.881223255,      -3.808196448,      -3.907008807,     -0.3581070606
          0,           0,          87,      -5.937028774,      -3.870790983,      -3.953673201,     -0.4139071107
          0,           0,          88,      -5.992754485,      -3.936400855,      -4.001000198,     -0.4696918715
          0,           0,          89,      -6.047759374,       -4.00487001,       -4.04872229,     -0.5248249832
          0,           0,          90,      -6.101336682,      -4.075917739,      -4.096543461,       -0.57859938
          0,           0,          91,      -6.152755417,      -4.149058737,       -4.14413695,     -0.6302768472
          0,           0,          92,      -6.201331867,      -4.223479129,      -4.191158204,     -0.6791578246
          0,           0,          93,      -6.246511959,      -4.297876832,      -4.237272735,      -0.724664441
          0,           0,          94,       -6.28795527,      -4.370299511,      -4.282182658,     -0.7664272353
          0,           0,          95,      -6.325603223,       -4.43810519,      -4.325651096,      -0.804357809
          0,           0,          96,      -6.359702872,      -4.498274893,       -4.36752785,     -0.8386780998
          0,           0,          97,      -6.390769861,      -4.548235213,      -4.407770411,     -0.8698878527
          0,           0,          98,      -6.419503504,      -4.586917341,      -4.446447289,     -0.8986811129
          0,           0,          99,      -6.446672659,      -4.615297016,       -4.48374461,     -0.9258315119
          0,           0,         100,      -6.473023507,        -4.6359412,      -4.519933245,     -0.9520960874
          0,           0,         101,      -6.499218226,      -4.651953735,      -4.555325812,     -0.9781503222
          0,           0,         102,      -6.525813103,      -4.666109642,      -4.590266773,      -1.004563498
          0,           0,         103,      -6.553227697,      -4.680467143,      -4.625034353,      -1.031768039
          0,           0,         104,      -6.581769942,      -4.696375195,      -4.659929848,      -1.060081969
          0,           0,         105,      -6.611659221,       -4.71464084,      -4.695258456,      -1.089733316
          0,           0,         106,      -6.643044096,      -4.735696904,      -4.731241916,      -1.120876982
          0,           0,         107,      -6.676013311,      -4.759744677,      -4.768018634,      -1.153606572
          0,           0,         108,      -6.710619417,      -4.786850339,      -4.805689289,      -1.187978413
          0,           0,         109,      -6.746873625,      -4.817003346,      -4.844302751,      -1.224007762
          0,           0,         110,      -6.784760627,      -4.850138145,      -4.883842905,      -1.261682435
          0,           0,         111,      -6.824244398,      -4.886160662,      -4.924246002,      -1.300969428
          0,           0,         112,      -6.865265175,      -4.924967143,      -4.965402513,      -1.341812504
          0,           0,         113,      -6.907740159,      -4.966446336,      -5.007147095,      -1.384132635
          0,           0,         114,      -6.951562599,      -5.010478287,      -5.049259289,      -1.427827169
          0,           0,         115,      -6.996598314,      -5.056931213,      -5.091471994,      -1.472766556
          0,           0,         116,      -7.042680394,      -5.105655914,       -5.13347841,      -1.518789081
          0,           0,         117,      -7.089602865,      -5.156475338,      -5.174938847,      -1.565694379
          0,           0,         118,      -7.137114324,      -5.209171742,      -5.215495342,      -1.613236716
          0,           0,         119,      -7.184912302,      -5.263471301,      -5.254795537,      -1.661118818
          0,           0,         120,      -7.232640321,      -5.319026145,      -5.292522981,      -1.708988068
          0,           0,         121,      -7.279889553,      -5.375397433,      -5.328429277,      -1.756437014
          0,           0,         122,      -7.326207155,      -5.432040795,      -5.362363114,      -1.803010459
          0,           0,         123,      -7.371117986,      -5.488306381,      -5.394284684,      -1.848225491
          0,           0,         124,      -7.414152587,      -5.543442143,       -5.42426702,       -1.89159902
          0,           0,         125,      -7.454889836,      -5.596642753,      -5.452493651,      -1.932690611
          0,           0,         126,      -7.493002516,      -5.647127601,      -5.479229829,      -1.971149407
          0,           0,         127,      -7.528300043,      -5.694238497,      -5.504789783,      -2.006759885
          0,           0,         128,      -7.560754628,      -5.737551805,      -5.529508531,      -2.039471936
          0,           0,         129,      -7.590502984,       -5.77695931,      -5.553717085,      -2.069406125
          0,           0,         130,      -7.617822591,      -5.812687174,      -5.577724898,      -2.096832107
          0,           0,         131,      -7.643090553,        -5.8452407,      -5.601807899,      -2.122127446
          0,           0,         132,      -7.666736282,      -5.875298871,      -5.626202585,      -2.145728649
          0,           0,         133,      -7.689198152,      -5.903600094,      -5.651105527,       -2.16808543
          0,           0,         134,      -7.710890793,      -5.930844734,      -5.676675765,      -2.189625573
          0,           0,         135,      -7.732184669,      -5.957637949,      -5.703038949,       -2.21073261
          0,           0,         136,      -7.753396719,       -5.98446169,      -5.730292134,      -2.231735277
          0,           0,         137,      -7.774789106,      -6.011674018,      -5.758507866,       -2.25290568
          0,           0,         138,      -7.796573117,      -6.039518658,      -5.787738387,      -2.274463076
          0,           0,         139,      -7.818915466,      -6.068143186,      -5.818019037,      -2.296580309
          0,           0,         140,      -7.841945791,      -6.097618379,      -5.849370564,      -2.319391571
          0,           0,         141,      -7.865763515,      -6.127953568,      -5.881801488,      -2.342999575
          0,           0,         142,      -7.890444369,      -6.159111761,      -5.915308919,      -2.367482328
          0,           0,         143,      -7.916045489,      -6.191022771,      -5.949879491,      -2.392898517
          0,           0,         144,      -7.942609751,      -6.223593274,       -5.98548942,      -2.419292044
          0,           0,         145,      -7.970169043,      -6.256712784,      -6.022103234,      -2.446695433
          0,           0,         146,      -7.998746609,      -6.290263464,      -6.059672934,      -2.475132368
          0,           0,         147,      -8.028359074,      -6.324127284,      -6.098136255,      -2.504619768
